100
10
2.96	3.68	3.92	3.35	3.23	5.82	5.14	3.85	2.23	1.35
3.68	4	4.1	2.86	2.83	5.2	4.31	3.48	2.2	0.95
3.99	3.94	3.36	2.64	1.07	4.28	3.34	2.56	1.77	1.48
3.82	3.16	2.41	1.08	0.24	3.3	2.52	2.43	2.08	2.88
3.2	2.25	1	0.84	0.66	2.49	2.07	1.86	2.02	2.23
2.28	1.24	0.6	0.05	-0.23	2.04	2.05	2.5	3.68	4.79
1.3	0.52	-0.19	-0.06	0.79	2.08	2.74	3.29	3.41	5.68
0.49	0.05	0.04	0.41	1.81	2.59	3.42	4.45	5.1	7
0.04	0.12	0.63	1.32	1.91	3.44	4.48	5.54	6.13	4.4
0.08	0.56	1.38	2.52	4.13	4.43	5.4	6.29	6.25	6.47
0.59	1.41	2.54	3.5	3.63	5.31	5.75	5.88	5.92	4.74
1.44	2.43	3.16	4.01	4.66	5.88	5.8	5.12	3.51	3.26
2.43	3.33	3.98	4.12	3.28	5.98	5.57	4.76	3.72	4.09
3.31	3.95	4.3	3.43	1.84	5.6	4.82	3.7	3.12	2.19
3.88	4.02	3.47	3.26	2.39	4.82	3.79	2.83	2.12	0.42
3.98	3.53	2.96	2.21	1.38	3.85	3.01	2.48	1.86	2.43
3.6	2.87	1.89	0.93	0.88	2.91	2.15	1.73	1.96	2.98
2.82	2.1	1.15	0.88	-0.22	2.24	1.88	2.08	3	3.55
1.85	0.9	0.24	0.42	1.65	2	2.24	3.04	3.82	4.65
0.91	0.3	0.21	0.26	0.43	2.25	2.97	3.82	4.49	5.54
0.24	0.19	0.47	0.08	2.01	2.93	3.9	4.75	6.01	6.63
0	0.29	0.96	1.51	2.92	3.87	4.93	5.5	5.57	4.7
0.25	0.72	1.71	2.79	3.17	4.84	5.5	5.76	5.38	5.1
0.93	1.77	2.75	3.04	3.29	5.61	5.97	6.03	5.37	4.37
1.87	2.74	3.47	3.12	4.25	5.98	5.82	5.16	3.99	3.36
2.84	3.43	3.98	4.39	3.33	5.87	5.38	4.78	3.59	1.93
3.61	4.19	4.18	4.31	2.4	5.3	4.42	3.2	1.88	1.67
3.98	3.75	3.33	2.16	1.23	4.41	3.47	2.52	1.98	2.71
3.87	3.29	2.33	0.7	1.86	3.42	2.66	2.35	2.94	4.26
3.3	2.36	1.98	0.82	0.02	2.58	1.97	1.81	2.33	3.28
2.41	1.46	0.77	0.36	0.38	2.08	2.04	2.67	3.14	5.3
1.42	0.59	-0.47	-0.17	0.94	2.05	2.56	3.67	4.54	5.51
